user_id,product_id,type,time
31,39,buy,1559855003
15,48,buy,1559855001
32,60,buy,1559855010
51,74,buy,1559855007
45,8,buy,1559855010
84,85,buy,1559855009
63,20,buy,1559855003
45,56,buy,1559855004
81,54,buy,1559855007
83,32,buy,1559855009
21,10,buy,1559855003
14,75,buy,1559855004
12,99,buy,1559855005
77,40,buy,1559855004
64,42,buy,1559855008
25,41,buy,1559855005
79,8,buy,1559855007
46,51,buy,1559855010
80,6,buy,1559855010
76,93,buy,1559855003
91,42,buy,1559855003
31,91,buy,1559855004
45,49,buy,1559855009
72,93,buy,1559855008
65,36,buy,1559855002
1,37,buy,1559855008
17,20,buy,1559855004
67,100,buy,1559855005
32,22,buy,1559855003
89,13,buy,1559855001
53,76,buy,1559855009
84,45,buy,1559855010
94,71,buy,1559855008
91,35,buy,1559855006
64,81,buy,1559855004
91,4,buy,1559855007
75,34,buy,1559855009
2,97,buy,1559855004
48,25,buy,1559855009
7,53,buy,1559855010
23,1,buy,1559855006
42,26,buy,1559855007
44,94,buy,1559855002
96,74,buy,1559855009
82,49,buy,1559855004
74,17,buy,1559855010
3,68,buy,1559855004
63,26,buy,1559855003
49,35,buy,1559855007
87,53,buy,1559855005
92,59,buy,1559855010
100,23,buy,1559855001
96,44,buy,1559855007
84,17,buy,1559855005
79,35,buy,1559855008
93,57,buy,1559855010
67,93,buy,1559855005
34,56,buy,1559855006
69,17,buy,1559855010
39,81,buy,1559855010
57,17,buy,1559855002
7,23,buy,1559855002
44,86,buy,1559855008
18,3,buy,1559855010
71,80,buy,1559855005
61,3,buy,1559855010
1,16,buy,1559855004
45,55,buy,1559855005
85,96,buy,1559855009
64,99,buy,1559855010
77,27,buy,1559855008
12,34,buy,1559855007
49,78,buy,1559855001
33,13,buy,1559855008
2,36,buy,1559855002
9,32,buy,1559855003
50,6,buy,1559855008
83,56,buy,1559855003
92,35,buy,1559855005
51,11,buy,1559855010
81,9,buy,1559855006
84,96,buy,1559855007
71,7,buy,1559855006
44,72,buy,1559855005
10,67,buy,1559855005
70,32,buy,1559855002
79,39,buy,1559855010
33,54,buy,1559855005
4,49,buy,1559855002
9,16,buy,1559855010
45,8,buy,1559855004
95,77,buy,1559855010
12,24,buy,1559855002
48,67,buy,1559855003
94,12,buy,1559855010
48,44,buy,1559855006
7,34,buy,1559855009
92,59,buy,1559855006
27,87,buy,1559855007
50,72,buy,1559855007
6,26,buy,1559855003
97,86,buy,1559855010
2,29,buy,1559855010
71,13,buy,1559855005
91,94,buy,1559855002
18,39,buy,1559855009
28,35,buy,1559855002
13,60,buy,1559855010
92,85,buy,1559855002
49,19,buy,1559855003
78,69,buy,1559855004
77,93,buy,1559855005
91,78,buy,1559855010
43,34,buy,1559855006
68,90,buy,1559855001
76,31,buy,1559855008
4,60,buy,1559855007
9,67,buy,1559855008
28,12,buy,1559855004
5,66,buy,1559855004
76,72,buy,1559855010
86,82,buy,1559855002
71,84,buy,1559855008
10,77,buy,1559855004
80,43,buy,1559855005
92,67,buy,1559855001
21,33,buy,1559855003
19,32,buy,1559855005
51,92,buy,1559855006
80,69,buy,1559855009
44,68,buy,1559855009
14,14,buy,1559855001
91,3,buy,1559855003
42,4,buy,1559855010
77,27,buy,1559855004
8,84,buy,1559855008
34,73,buy,1559855005
84,32,buy,1559855008
73,31,buy,1559855006
15,62,buy,1559855009
93,69,buy,1559855001
84,41,buy,1559855010
22,99,buy,1559855009
93,12,buy,1559855005
16,91,buy,1559855005
57,8,buy,1559855003
80,98,buy,1559855006
27,100,buy,1559855007
78,67,buy,1559855007
2,23,buy,1559855005
100,96,buy,1559855006
35,29,buy,1559855010
94,10,buy,1559855004
14,1,buy,1559855005
77,25,buy,1559855003
61,10,buy,1559855001
47,88,buy,1559855006
25,62,buy,1559855003
81,84,buy,1559855004
21,79,buy,1559855006
96,21,buy,1559855004
64,52,buy,1559855003
65,59,buy,1559855004
76,38,buy,1559855001
13,78,buy,1559855009
21,59,buy,1559855010
42,67,buy,1559855007
39,90,buy,1559855005
93,26,buy,1559855001
75,22,buy,1559855004
37,37,buy,1559855005
57,34,buy,1559855005
34,21,buy,1559855008
55,53,buy,1559855003
80,2,buy,1559855009
22,14,buy,1559855007
11,16,buy,1559855008
16,60,buy,1559855005
68,68,buy,1559855010
79,50,buy,1559855007
42,29,buy,1559855004
39,27,buy,1559855006
98,51,buy,1559855007
99,24,buy,1559855004
29,45,buy,1559855008
42,67,buy,1559855003
58,46,buy,1559855002
85,73,buy,1559855007
31,40,buy,1559855010
63,79,buy,1559855008
55,62,buy,1559855001
3,100,buy,1559855006
22,57,buy,1559855005
29,99,buy,1559855004
55,63,buy,1559855009
59,27,buy,1559855002
64,58,buy,1559855003
100,94,buy,1559855010
73,72,buy,1559855007
74,76,buy,1559855006
37,37,buy,1559855005
65,76,buy,1559855003
81,17,buy,1559855008
96,24,buy,1559855002
79,71,buy,1559855001
54,94,buy,1559855002
15,73,buy,1559855001
80,52,buy,1559855005
54,70,buy,1559855004
35,2,buy,1559855008
46,76,buy,1559855007
34,42,buy,1559855006
69,38,buy,1559855006
44,94,buy,1559855009
43,7,buy,1559855006
23,72,buy,1559855002
4,64,buy,1559855001
84,57,buy,1559855005
43,84,buy,1559855005
89,5,buy,1559855008
7,72,buy,1559855001
15,73,buy,1559855008
81,58,buy,1559855005
89,87,buy,1559855006
12,97,buy,1559855004
44,38,buy,1559855007
48,31,buy,1559855003
39,27,buy,1559855002
38,29,buy,1559855004
93,45,buy,1559855002
17,68,buy,1559855007
20,58,buy,1559855006
88,17,buy,1559855010
85,69,buy,1559855010
56,93,buy,1559855005
85,75,buy,1559855001
49,17,buy,1559855010
94,13,buy,1559855007
41,5,buy,1559855002
36,38,buy,1559855002
70,25,buy,1559855005
32,26,buy,1559855006
100,10,buy,1559855001
19,16,buy,1559855002
85,95,buy,1559855007
95,12,buy,1559855009
70,89,buy,1559855007
8,97,buy,1559855010
80,32,buy,1559855003
62,81,buy,1559855006
37,33,buy,1559855007
70,77,buy,1559855003
16,14,buy,1559855007
45,83,buy,1559855003
77,55,buy,1559855004
70,34,buy,1559855003
79,43,buy,1559855006
49,34,buy,1559855007
69,94,buy,1559855007
90,52,buy,1559855004
72,95,buy,1559855003
26,52,buy,1559855003
39,33,buy,1559855002
60,37,buy,1559855001
18,29,buy,1559855001
78,58,buy,1559855007
8,76,buy,1559855009
28,7,buy,1559855003
95,71,buy,1559855009
86,69,buy,1559855009
99,47,buy,1559855002
99,57,buy,1559855001
27,7,buy,1559855006
55,61,buy,1559855003
86,98,buy,1559855003
84,93,buy,1559855006
6,73,buy,1559855007
83,73,buy,1559855008
63,68,buy,1559855006
